group,user,kc,competency
4fe25833f555e9903d2bb6bbeec3fbfb,e3d9bb1dbe4394feac89c0974e04a53f,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,e86797831be7ef238bf4da814e085931,GMD.4,0.4131237550287824
4fe25833f555e9903d2bb6bbeec3fbfb,e86797831be7ef238bf4da814e085931,CO.5,0.38488401729712246
4fe25833f555e9903d2bb6bbeec3fbfb,e86797831be7ef238bf4da814e085931,CO.6,0.373477934692026
4fe25833f555e9903d2bb6bbeec3fbfb,e86797831be7ef238bf4da814e085931,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,ffb0d9f90251dac55dde43e4cae2c46c,GMD.4,0.43906274439947685
4fe25833f555e9903d2bb6bbeec3fbfb,ffb0d9f90251dac55dde43e4cae2c46c,CO.5,0.41533002447517375
4fe25833f555e9903d2bb6bbeec3fbfb,ffb0d9f90251dac55dde43e4cae2c46c,CO.6,0.4048232195369598
4fe25833f555e9903d2bb6bbeec3fbfb,ffb0d9f90251dac55dde43e4cae2c46c,MG.1,0.5321201991748258
7a01ab37bd2729626dcaf96166390315,16877a7d2e69929dcf77a5b6ea4e6cd9,GMD.4,0.6915899845143345
7a01ab37bd2729626dcaf96166390315,16877a7d2e69929dcf77a5b6ea4e6cd9,CO.5,0.9091954592622792
7a01ab37bd2729626dcaf96166390315,16877a7d2e69929dcf77a5b6ea4e6cd9,CO.6,0.7886591997118064
7a01ab37bd2729626dcaf96166390315,16877a7d2e69929dcf77a5b6ea4e6cd9,MG.1,0.7766098560589023
7a01ab37bd2729626dcaf96166390315,17db09f3cda608d44115c85fddc3c9ad,GMD.4,0.6218103217027654
7a01ab37bd2729626dcaf96166390315,17db09f3cda608d44115c85fddc3c9ad,CO.5,0.6233526705739403
7a01ab37bd2729626dcaf96166390315,17db09f3cda608d44115c85fddc3c9ad,CO.6,0.6014613057864437
7a01ab37bd2729626dcaf96166390315,17db09f3cda608d44115c85fddc3c9ad,MG.1,0.7953904254585232
7a01ab37bd2729626dcaf96166390315,17f8fdb215276b60e1b97a24962ad0f2,GMD.4,0.6773102131984121
7a01ab37bd2729626dcaf96166390315,17f8fdb215276b60e1b97a24962ad0f2,CO.5,0.6887937737336176
7a01ab37bd2729626dcaf96166390315,17f8fdb215276b60e1b97a24962ad0f2,CO.6,0.737886390454619
7a01ab37bd2729626dcaf96166390315,17f8fdb215276b60e1b97a24962ad0f2,MG.1,0.659470152939791
7a01ab37bd2729626dcaf96166390315,18209fda6e66194eb48ac00ea2f10a16,GMD.4,0.6684079608860326
7a01ab37bd2729626dcaf96166390315,18209fda6e66194eb48ac00ea2f10a16,CO.5,0.6541724507335062
7a01ab37bd2729626dcaf96166390315,18209fda6e66194eb48ac00ea2f10a16,CO.6,0.6640672750212442
7a01ab37bd2729626dcaf96166390315,18209fda6e66194eb48ac00ea2f10a16,MG.1,0.6208725161478614
7a01ab37bd2729626dcaf96166390315,1a59df3d27c2f1544da042110abbff28,GMD.4,0.4509838421005139
7a01ab37bd2729626dcaf96166390315,1a59df3d27c2f1544da042110abbff28,CO.5,0.42932246731822765
7a01ab37bd2729626dcaf96166390315,1a59df3d27c2f1544da042110abbff28,CO.6,0.41922895438511315
7a01ab37bd2729626dcaf96166390315,1a59df3d27c2f1544da042110abbff28,MG.1,0.5321201991748258
7a01ab37bd2729626dcaf96166390315,29fba46101c93b24f73945ea1e3994ef,GMD.4,0.4188128175485592
7a01ab37bd2729626dcaf96166390315,29fba46101c93b24f73945ea1e3994ef,CO.5,0.4645799236700079
7a01ab37bd2729626dcaf96166390315,29fba46101c93b24f73945ea1e3994ef,CO.6,0.4230206464132075
7a01ab37bd2729626dcaf96166390315,29fba46101c93b24f73945ea1e3994ef,MG.1,0.6005395407190358
7a01ab37bd2729626dcaf96166390315,2da50872be7a811e24a1cdec9c227829,GMD.4,0.7097685025442954
7a01ab37bd2729626dcaf96166390315,2da50872be7a811e24a1cdec9c227829,CO.5,0.8029860573263473
7a01ab37bd2729626dcaf96166390315,2da50872be7a811e24a1cdec9c227829,CO.6,0.719609404742667
7a01ab37bd2729626dcaf96166390315,2da50872be7a811e24a1cdec9c227829,MG.1,0.5847718851478505
7a01ab37bd2729626dcaf96166390315,2db95e8e1a9267b7a1188556b2013b33,GMD.4,0.5099090131427021
7a01ab37bd2729626dcaf96166390315,2db95e8e1a9267b7a1188556b2013b33,CO.5,0.49848615580584643
7a01ab37bd2729626dcaf96166390315,2db95e8e1a9267b7a1188556b2013b33,CO.6,0.4904355170024133
